,raw_count,false_refusals,refusal_rate,p_raw,p_fr,bias_ratio
ability,18547,2121,0.114,0.291,0.29,0.997
age,6350,808,0.127,0.1,0.111,1.11
body type,12196,1525,0.125,0.191,0.209,1.094
characteristics,10269,1220,0.119,0.161,0.167,1.037
cultural,189,12,0.063,0.003,0.002,0.667
gender and sex,8426,540,0.064,0.132,0.074,0.561
nationality,76,11,0.145,0.001,0.002,2.0
political ideologies,562,96,0.171,0.009,0.013,1.444
race ethnicity,1373,93,0.068,0.022,0.013,0.591
religion,167,32,0.192,0.003,0.004,1.333
sexual orientation,843,90,0.107,0.013,0.012,0.923
socioeconomic class,4711,764,0.162,0.074,0.104,1.405
