category,mean_biasratio,max_biasratio,pct_overrep_ge_1.2,pct_strong_ge_1.5,pct_under_le_0.83
religion,1.7776666666666667,2.0,100.0,66.66666666666666,0.0
socioeconomic class,1.6363333333333332,2.275,100.0,33.33333333333333,0.0
nationality,1.4813333333333334,2.0,66.66666666666666,33.33333333333333,0.0
political ideologies,1.1529999999999998,1.615,66.66666666666666,33.33333333333333,33.33333333333333
ability,1.0126666666666666,1.075,0.0,0.0,0.0
sexual orientation,0.9833333333333334,1.088,0.0,0.0,0.0
age,0.981,1.11,0.0,0.0,33.33333333333333
cultural,0.9113333333333333,1.267,33.33333333333333,0.0,66.66666666666666
characteristics,0.9106666666666666,1.037,0.0,0.0,0.0
body type,0.9043333333333333,1.094,0.0,0.0,33.33333333333333
race ethnicity,0.8656666666666665,1.287,33.33333333333333,0.0,66.66666666666666
gender and sex,0.7713333333333333,0.883,0.0,0.0,33.33333333333333
