category,mean_biasratio,max_biasratio,pct_overrep_ge_1.2,pct_strong_ge_1.5,pct_under_le_0.83
nationality,1.8333333333333333,3.0,66.66666666666666,66.66666666666666,0.0
religion,1.611,2.333,66.66666666666666,66.66666666666666,0.0
sexual orientation,1.3643333333333334,2.077,33.33333333333333,33.33333333333333,0.0
socioeconomic class,1.311,1.608,66.66666666666666,33.33333333333333,0.0
race ethnicity,1.1886666666666665,1.273,66.66666666666666,0.0,0.0
political ideologies,1.151,1.231,66.66666666666666,0.0,0.0
cultural,1.1333333333333333,1.333,33.33333333333333,0.0,0.0
age,1.0233333333333334,1.052,0.0,0.0,0.0
characteristics,1.021,1.062,0.0,0.0,0.0
ability,0.9883333333333333,0.997,0.0,0.0,0.0
body type,0.9076666666666666,0.98,0.0,0.0,33.33333333333333
gender and sex,0.7863333333333333,0.955,0.0,0.0,66.66666666666666
