,raw_count,false_refusals,refusal_rate,p_raw,p_fr,bias_ratio
ability,21469,2831,0.132,0.292,0.291,0.997
age,5643,789,0.14,0.077,0.081,1.052
body type,11096,1440,0.13,0.151,0.148,0.98
characteristics,9512,1233,0.13,0.129,0.127,0.984
cultural,1073,157,0.146,0.015,0.016,1.067
gender and sex,8488,810,0.095,0.115,0.083,0.722
nationality,633,86,0.136,0.009,0.009,1.0
political ideologies,984,154,0.157,0.013,0.016,1.231
race ethnicity,7921,1127,0.142,0.108,0.116,1.074
religion,1760,346,0.197,0.024,0.036,1.5
sexual orientation,2427,304,0.125,0.033,0.031,0.939
socioeconomic class,2565,440,0.172,0.035,0.045,1.286
