category,mean_biasratio,max_biasratio,pct_overrep_ge_1.2,pct_strong_ge_1.5,pct_under_le_0.83
nationality,1.6666666666666667,3.0,33.33333333333333,33.33333333333333,0.0
religion,1.4583333333333333,1.708,66.66666666666666,66.66666666666666,0.0
sexual orientation,1.425,2.0,33.33333333333333,33.33333333333333,0.0
political ideologies,1.3363333333333334,1.778,66.66666666666666,33.33333333333333,0.0
socioeconomic class,1.3316666666666668,1.543,66.66666666666666,33.33333333333333,0.0
cultural,1.222,1.333,66.66666666666666,0.0,0.0
race ethnicity,1.216,1.318,66.66666666666666,0.0,0.0
characteristics,1.0433333333333332,1.149,0.0,0.0,0.0
age,1.0253333333333334,1.05,0.0,0.0,0.0
ability,0.9636666666666667,1.0,0.0,0.0,0.0
body type,0.8929999999999999,0.959,0.0,0.0,33.33333333333333
gender and sex,0.7556666666666666,0.974,0.0,0.0,66.66666666666666
