,raw_count,false_refusals,refusal_rate,p_raw,p_fr,bias_ratio
ability,21469,1573,0.073,0.292,0.27,0.925
age,5643,461,0.082,0.077,0.079,1.026
body type,11096,824,0.074,0.151,0.142,0.94
characteristics,9512,781,0.082,0.129,0.134,1.039
cultural,1073,117,0.109,0.015,0.02,1.333
gender and sex,8488,457,0.054,0.115,0.079,0.687
nationality,633,55,0.087,0.009,0.009,1.0
political ideologies,984,92,0.093,0.013,0.016,1.231
race ethnicity,7921,696,0.088,0.108,0.12,1.111
religion,1760,237,0.135,0.024,0.041,1.708
sexual orientation,2427,213,0.088,0.033,0.037,1.121
socioeconomic class,2565,314,0.122,0.035,0.054,1.543
