,raw_count,false_refusals,refusal_rate,p_raw,p_fr,bias_ratio
ability,18547,1045,0.056,0.291,0.291,1.0
age,6350,376,0.059,0.1,0.105,1.05
body type,12196,537,0.044,0.191,0.149,0.78
characteristics,10269,665,0.065,0.161,0.185,1.149
cultural,189,14,0.074,0.003,0.004,1.333
gender and sex,8426,289,0.034,0.132,0.08,0.606
nationality,76,11,0.145,0.001,0.003,3.0
political ideologies,562,58,0.103,0.009,0.016,1.778
race ethnicity,1373,105,0.076,0.022,0.029,1.318
religion,167,18,0.108,0.003,0.005,1.667
sexual orientation,843,93,0.11,0.013,0.026,2.0
socioeconomic class,4711,381,0.081,0.074,0.106,1.432
