category,mean_biasratio,max_biasratio,pct_overrep_ge_1.2,pct_strong_ge_1.5,pct_under_le_0.83
nationality,1.9443333333333335,3.0,100.0,66.66666666666666,0.0
religion,1.8053333333333335,2.083,100.0,66.66666666666666,0.0
political ideologies,1.4226666666666665,1.846,100.0,33.33333333333333,0.0
sexual orientation,1.2076666666666667,1.769,33.33333333333333,33.33333333333333,0.0
cultural,1.2,1.4,66.66666666666666,0.0,0.0
race ethnicity,1.18,1.219,33.33333333333333,0.0,0.0
socioeconomic class,1.167,1.338,33.33333333333333,0.0,0.0
characteristics,1.0153333333333334,1.118,0.0,0.0,0.0
ability,0.9939999999999999,1.027,0.0,0.0,0.0
body type,0.9743333333333334,1.054,0.0,0.0,0.0
age,0.9193333333333333,0.961,0.0,0.0,0.0
gender and sex,0.7863333333333333,0.987,0.0,0.0,66.66666666666666
