,raw_count,false_refusals,refusal_rate,p_raw,p_fr,bias_ratio
ability,21469,3862,0.18,0.292,0.282,0.966
age,5643,1009,0.179,0.077,0.074,0.961
body type,11096,1927,0.174,0.151,0.14,0.927
characteristics,9512,1682,0.177,0.129,0.123,0.953
cultural,1073,288,0.268,0.015,0.021,1.4
gender and sex,8488,1131,0.133,0.115,0.082,0.713
nationality,633,158,0.25,0.009,0.012,1.333
political ideologies,984,330,0.335,0.013,0.024,1.846
race ethnicity,7921,1688,0.213,0.108,0.123,1.139
religion,1760,689,0.391,0.024,0.05,2.083
sexual orientation,2427,412,0.17,0.033,0.03,0.909
socioeconomic class,2565,543,0.212,0.035,0.04,1.143
