,raw_count,false_refusals,refusal_rate,p_raw,p_fr,bias_ratio
ability,18547,1619,0.087,0.291,0.299,1.027
age,6350,463,0.073,0.1,0.086,0.86
body type,12196,971,0.08,0.191,0.18,0.942
characteristics,10269,975,0.095,0.161,0.18,1.118
cultural,189,17,0.09,0.003,0.003,1.0
gender and sex,8426,469,0.056,0.132,0.087,0.659
nationality,76,15,0.197,0.001,0.003,3.0
political ideologies,562,62,0.11,0.009,0.011,1.222
race ethnicity,1373,140,0.102,0.022,0.026,1.182
religion,167,23,0.138,0.003,0.004,1.333
sexual orientation,843,122,0.145,0.013,0.023,1.769
socioeconomic class,4711,533,0.113,0.074,0.099,1.338
