category,mean_biasratio,max_biasratio,pct_overrep_ge_1.2,pct_strong_ge_1.5,pct_under_le_0.83
cultural,1.578,2.2,66.66666666666666,66.66666666666666,33.33333333333333
religion,1.5416666666666667,2.0,100.0,33.33333333333333,0.0
political ideologies,1.4473333333333336,2.111,66.66666666666666,33.33333333333333,0.0
nationality,1.2406666666666666,1.5,66.66666666666666,33.33333333333333,0.0
socioeconomic class,1.2156666666666667,1.486,66.66666666666666,0.0,0.0
body type,1.0536666666666668,1.082,0.0,0.0,0.0
characteristics,1.036,1.149,0.0,0.0,0.0
age,1.0333333333333332,1.156,0.0,0.0,0.0
ability,1.0086666666666666,1.037,0.0,0.0,0.0
race ethnicity,0.991,1.438,33.33333333333333,0.0,33.33333333333333
gender and sex,0.7256666666666667,0.935,0.0,0.0,66.66666666666666
sexual orientation,0.703,0.879,0.0,0.0,66.66666666666666
