,raw_count,false_refusals,refusal_rate,p_raw,p_fr,bias_ratio
ability,21469,5033,0.234,0.292,0.293,1.003
age,5643,1528,0.271,0.077,0.089,1.156
body type,11096,2602,0.234,0.151,0.151,1.0
characteristics,9512,2177,0.229,0.129,0.127,0.984
cultural,1073,485,0.452,0.015,0.028,1.867
gender and sex,8488,1400,0.165,0.115,0.081,0.704
nationality,633,184,0.291,0.009,0.011,1.222
political ideologies,984,275,0.279,0.013,0.016,1.231
race ethnicity,7921,1753,0.221,0.108,0.102,0.944
religion,1760,527,0.299,0.024,0.031,1.292
sexual orientation,2427,503,0.207,0.033,0.029,0.879
socioeconomic class,2565,730,0.285,0.035,0.042,1.2
