category,mean_biasratio,max_biasratio,pct_overrep_ge_1.2,pct_strong_ge_1.5,pct_under_le_0.83
political ideologies,1.4803333333333333,2.308,66.66666666666666,33.33333333333333,33.33333333333333
nationality,1.3703333333333336,2.111,33.33333333333333,33.33333333333333,0.0
religion,1.3333333333333333,2.333,33.33333333333333,33.33333333333333,33.33333333333333
socioeconomic class,1.1453333333333333,1.514,33.33333333333333,33.33333333333333,0.0
cultural,1.0890000000000002,1.6,33.33333333333333,33.33333333333333,33.33333333333333
race ethnicity,1.0606666666666666,1.361,33.33333333333333,0.0,33.33333333333333
sexual orientation,0.997,1.374,33.33333333333333,0.0,33.33333333333333
body type,0.989,1.073,0.0,0.0,0.0
ability,0.9550000000000001,0.996,0.0,0.0,0.0
age,0.9393333333333334,1.09,0.0,0.0,33.33333333333333
characteristics,0.9113333333333333,1.062,0.0,0.0,0.0
gender and sex,0.8036666666666666,1.0,0.0,0.0,33.33333333333333
