parent_qcode,parent_label,child_qcode,child_label,parent_definition,child_definition
medtop:01000000,"arts, culture, entertainment and media",medtop:20000002,arts and entertainment,"All forms of arts, entertainment, cultural heritage and media",All forms of arts and entertainment
medtop:01000000,"arts, culture, entertainment and media",medtop:20000038,culture,"All forms of arts, entertainment, cultural heritage and media","The ideas, customs, arts, traditions of a particular group of persons"
medtop:01000000,"arts, culture, entertainment and media",medtop:20000045,mass media,"All forms of arts, entertainment, cultural heritage and media",Media addressing a large audience
medtop:20000002,arts and entertainment,medtop:20000003,animation,All forms of arts and entertainment,Stories told through animated drawings in either full-length or short format
medtop:20000002,arts and entertainment,medtop:20000004,cartoon,All forms of arts and entertainment,"Drawings, such as editorial cartoons and comic strips, often using humour or satire"
medtop:20000002,arts and entertainment,medtop:20000005,cinema,All forms of arts and entertainment,"Stories told through motion pictures, such as full-length or short format documentary or fictional features"
medtop:20000002,arts and entertainment,medtop:20000007,dance,All forms of arts and entertainment,A form of performing art consisting of purposefully selected sequences of human movement
medtop:20000002,arts and entertainment,medtop:20000011,fashion,All forms of arts and entertainment,"Styles and trends in clothing, footwear, accessories, including the design, presentation and wearing of these styles and trends"
medtop:20000002,arts and entertainment,medtop:20000013,literature,All forms of arts and entertainment,The telling of a story through written language
medtop:20000002,arts and entertainment,medtop:20000018,music,All forms of arts and entertainment,"A form of performing art using instruments or voice to create different sounds, tones and harmonies"
medtop:20000002,arts and entertainment,medtop:20000029,theatre,All forms of arts and entertainment,A form of performing art where live performers portray a narrative to an audience through dialogue and action
medtop:20000002,arts and entertainment,medtop:20000031,visual arts,All forms of arts and entertainment,"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture."
medtop:20000002,arts and entertainment,medtop:20001179,series,All forms of arts and entertainment,A connected set of fictional or non-fictional program episodes that run under the same title.
medtop:20000002,arts and entertainment,medtop:20001181,festival,All forms of arts and entertainment,"Events showcasing artistic endeavours, often regularly occurring, such as dance, music, theatre, poetry or comedy festivals"
medtop:20001181,festival,medtop:20000006,film festival,"Events showcasing artistic endeavours, often regularly occurring, such as dance, music, theatre, poetry or comedy festivals",All forms of national and international film festivals
medtop:20000007,dance,medtop:20000008,ballet,A form of performing art consisting of purposefully selected sequences of human movement,"A classical dance form based on formal gestures, steps and postures"
medtop:20000007,dance,medtop:20000009,modern dance,A form of performing art consisting of purposefully selected sequences of human movement,A theatrical dance style based on free-style expression rather than formal gestures
medtop:20000007,dance,medtop:20000010,traditional dance,A form of performing art consisting of purposefully selected sequences of human movement,"Dance style that reflects the life and culture of a specific group of people or region, such as folk and ceremonial dance"
medtop:20000011,fashion,medtop:20000012,jewellery,"Styles and trends in clothing, footwear, accessories, including the design, presentation and wearing of these styles and trends","Decorative items worn for personal expression and adornment, such as rings, necklaces, earrings"
medtop:20000011,fashion,medtop:20001248,cosmetics,"Styles and trends in clothing, footwear, accessories, including the design, presentation and wearing of these styles and trends","Products applied to the body to enhance appearance, such as lipstick, eyeliner, foundation and nail polish, and the trends surrounding the application of these products"
medtop:20000011,fashion,medtop:20001249,hairstyles,"Styles and trends in clothing, footwear, accessories, including the design, presentation and wearing of these styles and trends",Trends surrounding the cutting and styling of hair
medtop:20000013,literature,medtop:20000014,drama (literature),The telling of a story through written language,Work written to be performed on the stage
medtop:20000013,literature,medtop:20000015,fiction,The telling of a story through written language,"Written works that are not based on fact, but are the creation of the author's imagination"
medtop:20000013,literature,medtop:20000016,non-fiction,The telling of a story through written language,Written works that are based on fact
medtop:20000013,literature,medtop:20000017,poetry,The telling of a story through written language,Written works that use the aesthetic and rhythmic qualities of language to express a message or emotion
medtop:20000018,music,medtop:20000019,musical instrument,"A form of performing art using instruments or voice to create different sounds, tones and harmonies",Objects used to play music on
medtop:20000018,music,medtop:20000020,musical performance,"A form of performing art using instruments or voice to create different sounds, tones and harmonies",Musicians performing for an audience for the purpose of entertainment
medtop:20000018,music,medtop:20000021,musical genre,"A form of performing art using instruments or voice to create different sounds, tones and harmonies",A distinguishable type of music
medtop:20000021,musical genre,medtop:20000022,classical music,A distinguishable type of music,"A genre of music rooted in the traditions of Western music, including both religious and secular music, such as symphony, concerto and sonata."
medtop:20000021,musical genre,medtop:20000023,country music,A distinguishable type of music,"A genre of music that originated in the southern United States, often consisting of ballads or dance tunes and featuring string instruments such as banjos, fiddles and guitars"
medtop:20000021,musical genre,medtop:20000024,folk music,A distinguishable type of music,"A genre of music that developed from traditional popular cultures, often based on story telling"
medtop:20000021,musical genre,medtop:20000025,jazz music,A distinguishable type of music,A genre of music with roots in blues and ragtime that originated in African American communities of New Orleans in the United States in the late 19th and early 20th centuries
medtop:20000021,musical genre,medtop:20000026,popular music,A distinguishable type of music,A genre of music that is widely accessible and designed to appeal to all
medtop:20000021,musical genre,medtop:20000027,rock and roll music,A distinguishable type of music,"A genre of music that originated in the United States during the late 1940s and early 1950s, evolving from African American musical styles such as gospel, jump blues, jazz, boogie woogie, and rhythm and blues."
medtop:20000021,musical genre,medtop:20001184,hip hop,A distinguishable type of music,A genre of music developed in African American communities in the United States in the 1970s which consists of rapping usually with an electronic backing
medtop:20000021,musical genre,medtop:20001185,r&b,A distinguishable type of music,A genre of music originated in African American communities in the 1940s and featuring soulful vocals
medtop:20000021,musical genre,medtop:20001186,heavy metal,A distinguishable type of music,"A genre of loud, aggressive rock music that was developed in the late 1960s and early 1970s"
medtop:20000021,musical genre,medtop:20001187,dance band music,A distinguishable type of music,"A Swedish genre of music characterized by music inspired by swing, schlager, country, jazz and rock that is often danced to in pairs"
medtop:20000021,musical genre,medtop:20001188,electronic dance music,A distinguishable type of music,"A genre of music that employs electronic instruments and is primarily made for nightclubs, raves, and festivals"
medtop:20000021,musical genre,medtop:20001189,children's music,A distinguishable type of music,A genre of music featuring songs composed and performed for children
medtop:20000029,theatre,medtop:20000028,opera,A form of performing art where live performers portray a narrative to an audience through dialogue and action,A form of performing art where classically trained musicians and singers perform a musical and dramatic work
medtop:20000029,theatre,medtop:20000030,music theatre,A form of performing art where live performers portray a narrative to an audience through dialogue and action,"A form of performing art where live performers portray a narrative to an audience through song, dialogue and action, such as musicals and operettas"
medtop:20000029,theatre,medtop:20001133,musical,A form of performing art where live performers portray a narrative to an audience through dialogue and action,A genre of music theatre in which singing and dancing play an essential part of the storytelling
medtop:20000029,theatre,medtop:20001134,operetta,A form of performing art where live performers portray a narrative to an audience through dialogue and action,A genre of music theatre that usually has a light or humorous theme where some of the libretto is usually spoken rather than sung.
medtop:20000029,theatre,medtop:20001180,drama (theatre),A form of performing art where live performers portray a narrative to an audience through dialogue and action,A genre of theatre where dramatic or comedic plays are performed on the stage
medtop:20000029,theatre,medtop:20001190,stand-up comedy,A form of performing art where live performers portray a narrative to an audience through dialogue and action,"A comic style in which a comedian performs a series of jokes or stories in front of a live audience, usually speaking directly to them"
medtop:20000029,theatre,medtop:20001191,cabaret,A form of performing art where live performers portray a narrative to an audience through dialogue and action,"A form of theatrical entertainment featuring music, song, dance, recitation, or drama that is performed in a nightclub or restaurant while the audience eats or drinks at tables"
medtop:20000031,visual arts,medtop:20000032,architecture,"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture.","The design of buildings, monuments and the spaces around them"
medtop:20000031,visual arts,medtop:20000033,design (visual arts),"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture.","An artistic discipline which focuses on visual communication and presentation, the final product of which can range from jewellery to interior design"
medtop:20000031,visual arts,medtop:20000034,drawing,"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture.","A form of visual arts using mediums such as pencils, markers, pen and ink, charcoal"
medtop:20000031,visual arts,medtop:20000035,painting,"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture.","A form of visual arts using mediums such as oil paint, watercolour, pastel, crayon"
medtop:20000031,visual arts,medtop:20000036,photography,"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture.",A form of visual arts using photographic images
medtop:20000031,visual arts,medtop:20000037,sculpture,"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture.","A form of visual arts using mediums such as clay, stone, wood and metal to create three-dimensional works"
medtop:20000031,visual arts,medtop:20001203,textile arts,"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture.","Arts and crafts that use plant, animal, or synthetic fibres to construct practical or decorative object"
medtop:20000031,visual arts,medtop:20001204,woodworking,"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture.","The activity or skill of making items, such as furniture or cabinets, from wood"
medtop:20000031,visual arts,medtop:20001205,forging,"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture.","The shaping of metal using localized compressive forces, such as heating and hammering"
medtop:20000038,culture,medtop:20000039,cultural development,"The ideas, customs, arts, traditions of a particular group of persons","The history of the development of art and culture such as the rise of cave paintings, linguistic variations over time, the evolution of values"
medtop:20000038,culture,medtop:20000040,customs and tradition,"The ideas, customs, arts, traditions of a particular group of persons","A particular way of behaving, or observances that have developed over time by a group of people"
medtop:20000038,culture,medtop:20000041,festive event (culture),"The ideas, customs, arts, traditions of a particular group of persons",An event ordinarily celebrated by a community and centring on some characteristic aspect of that community and its religion or traditions
medtop:20000038,culture,medtop:20000042,language,"The ideas, customs, arts, traditions of a particular group of persons","The method of human communication, either spoken or written, consisting of words that are used in a structured and conventional way"
medtop:20000038,culture,medtop:20000043,library and museum,"The ideas, customs, arts, traditions of a particular group of persons","Institutions that house collections of books, music, art, or objects from the past and present optionally for public use and display"
medtop:20000038,culture,medtop:20000044,monument and heritage site,"The ideas, customs, arts, traditions of a particular group of persons","Commemorations of historical people, events, or the areas containing them, in the form of structures such as sculptures, statues or buildings"
medtop:20000038,culture,medtop:20001135,art exhibition,"The ideas, customs, arts, traditions of a particular group of persons","Temporary presentation of art in museums, art halls or galleries"
medtop:20000045,mass media,medtop:20000046,news media,Media addressing a large audience,"The presentation of news to the public through different platforms, such as TV, radio, newspapers, magazines, web pages and blogs"
