qcode,label,parents,definition
medtop:01000000,"arts, culture, entertainment and media",,"All forms of arts, entertainment, cultural heritage and media"
medtop:02000000,"crime, law and justice",,"The establishment and/or statement of the rules of behaviour in society, the enforcement of these rules, breaches of the rules, the punishment of offenders and the organisations and bodies involved in these activities"
medtop:03000000,"disaster, accident and emergency incident",,Man made or natural event resulting in loss of life or injury to living creatures and/or damage to inanimate objects or property
medtop:04000000,"economy, business and finance",,"All matters concerning the planning, production and exchange of wealth."
medtop:05000000,education,,"All aspects of furthering knowledge, formally or informally"
medtop:06000000,environment,,"All aspects of protection, damage, and condition of the ecosystem of the planet earth and its surroundings."
medtop:07000000,health,,All aspects of physical and mental well-being
medtop:08000000,human interest,,"Item that discusses individuals, groups, animals, plants or other objects in an emotional way"
medtop:09000000,labour,,"Social aspects, organisations, rules and conditions affecting the employment of human effort for the generation of wealth or provision of services and the economic support of the unemployed."
medtop:10000000,lifestyle and leisure,,"Activities undertaken for pleasure, relaxation or recreation outside paid employment, including eating and travel."
medtop:11000000,politics and government,,"Local, regional, national and international exercise of power, the day-to-day running of government, and the relationships between governing bodies and states."
medtop:12000000,religion,,"Belief systems, institutions and people who provide moral guidance to followers"
medtop:13000000,science and technology,,"All aspects pertaining to human understanding of, as well as methodical study and research of natural, formal and social sciences, such as astronomy, linguistics or economics"
medtop:14000000,society,,"The concerns, issues, affairs and institutions relevant to human social interactions, problems and welfare, such as poverty, human rights and family planning"
medtop:15000000,sport,,Competitive activity or skill that involves physical and/or mental effort and organisations and bodies involved in these activities
medtop:16000000,"conflict, war and peace",,"Acts of socially or politically motivated protest or violence, military activities, geopolitical conflicts, as well as resolution efforts"
medtop:17000000,weather,,"The study, prediction and reporting of meteorological phenomena"
medtop:20000002,arts and entertainment,medtop:01000000,All forms of arts and entertainment
medtop:20000003,animation,medtop:20000002,Stories told through animated drawings in either full-length or short format
medtop:20000004,cartoon,medtop:20000002,"Drawings, such as editorial cartoons and comic strips, often using humour or satire"
medtop:20000005,cinema,medtop:20000002,"Stories told through motion pictures, such as full-length or short format documentary or fictional features"
medtop:20000006,film festival,medtop:20001181,All forms of national and international film festivals
medtop:20000007,dance,medtop:20000002,A form of performing art consisting of purposefully selected sequences of human movement
medtop:20000008,ballet,medtop:20000007,"A classical dance form based on formal gestures, steps and postures"
medtop:20000009,modern dance,medtop:20000007,A theatrical dance style based on free-style expression rather than formal gestures
medtop:20000010,traditional dance,medtop:20000007,"Dance style that reflects the life and culture of a specific group of people or region, such as folk and ceremonial dance"
medtop:20000011,fashion,medtop:20000002,"Styles and trends in clothing, footwear, accessories, including the design, presentation and wearing of these styles and trends"
medtop:20000012,jewellery,medtop:20000011,"Decorative items worn for personal expression and adornment, such as rings, necklaces, earrings"
medtop:20000013,literature,medtop:20000002,The telling of a story through written language
medtop:20000014,drama (literature),medtop:20000013,Work written to be performed on the stage
medtop:20000015,fiction,medtop:20000013,"Written works that are not based on fact, but are the creation of the author's imagination"
medtop:20000016,non-fiction,medtop:20000013,Written works that are based on fact
medtop:20000017,poetry,medtop:20000013,Written works that use the aesthetic and rhythmic qualities of language to express a message or emotion
medtop:20000018,music,medtop:20000002,"A form of performing art using instruments or voice to create different sounds, tones and harmonies"
medtop:20000019,musical instrument,medtop:20000018,Objects used to play music on
medtop:20000020,musical performance,medtop:20000018,Musicians performing for an audience for the purpose of entertainment
medtop:20000021,musical genre,medtop:20000018,A distinguishable type of music
medtop:20000022,classical music,medtop:20000021,"A genre of music rooted in the traditions of Western music, including both religious and secular music, such as symphony, concerto and sonata."
medtop:20000023,country music,medtop:20000021,"A genre of music that originated in the southern United States, often consisting of ballads or dance tunes and featuring string instruments such as banjos, fiddles and guitars"
medtop:20000024,folk music,medtop:20000021,"A genre of music that developed from traditional popular cultures, often based on story telling"
medtop:20000025,jazz music,medtop:20000021,A genre of music with roots in blues and ragtime that originated in African American communities of New Orleans in the United States in the late 19th and early 20th centuries
medtop:20000026,popular music,medtop:20000021,A genre of music that is widely accessible and designed to appeal to all
medtop:20000027,rock and roll music,medtop:20000021,"A genre of music that originated in the United States during the late 1940s and early 1950s, evolving from African American musical styles such as gospel, jump blues, jazz, boogie woogie, and rhythm and blues."
medtop:20000028,opera,medtop:20000029,A form of performing art where classically trained musicians and singers perform a musical and dramatic work
medtop:20000029,theatre,medtop:20000002,A form of performing art where live performers portray a narrative to an audience through dialogue and action
medtop:20000030,music theatre,medtop:20000029,"A form of performing art where live performers portray a narrative to an audience through song, dialogue and action, such as musicals and operettas"
medtop:20000031,visual arts,medtop:20000002,"A form of art which appeals primarily to the visual senses, such as ceramics, drawing, painting, sculpture, printmaking, design, crafts, photography, video, filmmaking, and architecture."
medtop:20000032,architecture,medtop:20000031,"The design of buildings, monuments and the spaces around them"
medtop:20000033,design (visual arts),medtop:20000031,"An artistic discipline which focuses on visual communication and presentation, the final product of which can range from jewellery to interior design"
medtop:20000034,drawing,medtop:20000031,"A form of visual arts using mediums such as pencils, markers, pen and ink, charcoal"
medtop:20000035,painting,medtop:20000031,"A form of visual arts using mediums such as oil paint, watercolour, pastel, crayon"
medtop:20000036,photography,medtop:20000031,A form of visual arts using photographic images
medtop:20000037,sculpture,medtop:20000031,"A form of visual arts using mediums such as clay, stone, wood and metal to create three-dimensional works"
medtop:20000038,culture,medtop:01000000,"The ideas, customs, arts, traditions of a particular group of persons"
medtop:20000039,cultural development,medtop:20000038,"The history of the development of art and culture such as the rise of cave paintings, linguistic variations over time, the evolution of values"
medtop:20000040,customs and tradition,medtop:20000038,"A particular way of behaving, or observances that have developed over time by a group of people"
medtop:20000041,festive event (culture),medtop:20000038,An event ordinarily celebrated by a community and centring on some characteristic aspect of that community and its religion or traditions
medtop:20000042,language,medtop:20000038,"The method of human communication, either spoken or written, consisting of words that are used in a structured and conventional way"
medtop:20000043,library and museum,medtop:20000038,"Institutions that house collections of books, music, art, or objects from the past and present optionally for public use and display"
medtop:20000044,monument and heritage site,medtop:20000038,"Commemorations of historical people, events, or the areas containing them, in the form of structures such as sculptures, statues or buildings"
medtop:20000045,mass media,medtop:01000000,Media addressing a large audience
medtop:20000046,news media,medtop:20000045,"The presentation of news to the public through different platforms, such as TV, radio, newspapers, magazines, web pages and blogs"
medtop:20000047,newspaper,medtop:20000045,"Daily or weekly publication that presents the news, locally, regionally or globally, as well as features, opinion columns, comics and other content"
medtop:20000048,online media outlet,medtop:20000045,"Publication distributing content, such as articles, blogs, photos, video and music, only over the internet"
medtop:20000049,periodical,medtop:20000045,"Publication that is usually published weekly, bi-weekly, monthly or annually, such as magazines, journals or newsletters"
medtop:20000050,radio,medtop:20000045,"Audio content, such as news, entertainment or information, distributed via broadcast or internet"
medtop:20000051,television,medtop:20000045,"Video content, such as news, entertainment or information, distributed via broadcast or internet"
medtop:20000053,act of terror,medtop:16000000,"Act of violence, often resulting in casualties, designed to raise fear and anxiety in a population"
medtop:20000054,act of bioterrorism,medtop:20000053,Attacks using biological agents intended to raise the level of fear within a population
medtop:20000055,terrorist bombings,medtop:20000053,"Intentional use of explosive devices on people, buildings or other structures"
medtop:20000056,armed conflict,medtop:16000000,"Disputes between opposing groups involving the use of weapons, but not necessarily formally declared wars"
medtop:20000057,guerrilla activity,medtop:20000056,"Anti-government or wartime actions by clandestine or non-state combatant groups, often using tactics such as ambush, sabotage, raids and kidnapping"
medtop:20000058,international military intervention,medtop:20000056,The temporary use of international forces in a country or region that requires outside help with resolving a crisis
medtop:20000059,peacekeeping force,medtop:20000073,"The military forces of a nation, or of several nations working together, whose mission is to maintain peace in areas of conflict"
medtop:20000060,military occupation,medtop:20000056,The temporary forceful taking over of a country or region by invading military forces
medtop:20000061,missing in action,medtop:20001377,"Civilians or military personnel who have gone missing during or after hostilities, conflicts or war"
medtop:20000062,war,medtop:20000056,Armed hostilities by one group or geopolitical entity against another
medtop:20000063,civil war,medtop:20000062,"Armed conflict between members of the same country, in some cases with the goal of dividing the country"
medtop:20000064,war crime action,medtop:20000062,"Actions alleged as crimes committed during a war or armed conflict, usually against civilians or POWs"
medtop:20000065,civil unrest,medtop:16000000,"Rallies, strikes, demonstrations, riots or other disturbances by a population, often in protest to a government or other organization's policies or actions"
medtop:20000066,demonstration,medtop:20000065,"A non-violent public show of support for or opposition to a cause, idea or policy, in the form of a mass meeting or march"
medtop:20000067,rebellion,medtop:20000065,"Organized actions of opposition to a government or ruling party by a country's residents, often violent and with the aim of overthrowing the government"
medtop:20000068,revolution,medtop:20000065,"A forcible and often violent change to, or overthrow of, a country's political system or social order by internal forces, in favour of a new system"
medtop:20000069,riot,medtop:20000065,"Violent, destructive events of civil disorder by groups of people, usually in response to a grievance or as acts of opposition, often involving injury to individuals and destruction of property"
medtop:20000070,coup d'etat,medtop:16000000,The overthrow of an established government by an organised military or political group
medtop:20000071,massacre,medtop:16000000,"The mass killing of people, usually civilians, during wartime hostilities"
medtop:20000072,genocide,medtop:20000082,"The systematic killing of one clan, tribe, or religious or ethnic group by another"
medtop:20000073,peace process,medtop:16000000,"Organized actions to end a war or conflict, usually involving peace negotiations and agreements"
medtop:20000074,peace envoy,medtop:20000073,Person or organisation initiating and carrying out a peace process
medtop:20000075,peace plan,medtop:20000073,A strategy for achieving peace in a warring nation or area of conflict
medtop:20000076,peace talks,medtop:20000073,"Discussions between countries, world regions or geopolitical entities in conflict or at war, often with a mediator, with the goal of arriving at a solution for peace"
medtop:20000077,post-war reconstruction,medtop:16000000,"Actions to rebuild a society, economy or political system in an area affected by war"
medtop:20000078,disarmament,medtop:20000073,The abolishment or reduction of a country's military weapons cache
medtop:20000079,ordnance clearance,medtop:20000077,The removal or neutralisation of ordnance such as landmines or cluster bombs that may remain after a war or armed conflict on public ground
medtop:20000080,prisoners of war,medtop:20001377,"Individuals captured, imprisoned or detained by enemy factions during military conflicts or war"
medtop:20000082,crime,medtop:02000000,"Violations of laws by individuals, companies or organisations"
medtop:20000083,arson,medtop:20000082,The intentional setting of fires with criminal intent
medtop:20000084,assault,medtop:20000082,"Physical crime against a person, including battery, brawls and threat of bodily harm"
medtop:20000085,sex crime,medtop:20000084,"Sexual crimes against a person, such as rape, harassment, molestation or groping"
medtop:20000086,cyber crime,medtop:20000082,"Criminal activities carried out by means of computers or the internet, such as hacking, phishing scams and identity theft"
medtop:20000087,corporate crime,medtop:20000082,Crimes committed by a corporation or by individuals acting on behalf of a corporation
medtop:20000088,anti-trust crime,medtop:20000087,Violations of laws aimed at corporations to promote fair competition for the benefit of consumers
medtop:20000089,breach of contract,medtop:20000087,The breaking of terms set in a contractual agreement
medtop:20000090,embezzlement,medtop:20000087,The intentional theft or misuse of money left in one's care or belonging to one's employer
medtop:20000091,insider trading,medtop:20000087,Trading of stocks by persons having access to internal information not made public at the time
medtop:20000092,restraint of trade,medtop:20000087,Interference in free competition in business and trade
medtop:20000093,corruption,medtop:20000082,Dishonest actions by a person in power in return for pecuniary or personal gain
medtop:20000094,bribery,medtop:20000093,The giving of money or favours in order to influence the judgment or conduct of a person in a position of power
medtop:20000095,drug related crimes,medtop:20000082,"Illegal activities involving illicit substances, including buying, distribution, selling and smuggling"
medtop:20000096,drug trafficking,medtop:20000095,Dealing in illicit often harmful substances
